Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Variation_Pct
1994-03-11;6,55628352821944;6,635753631591797;6,55628352821944;6,635753631591797;2359000;
1994-03-14;6,59601756587173;6,59601756587173;6,5562825202941895;6,5562825202941895;536500;-1,2
1994-03-15;6,5562825202941895;6,59601756587173;6,5562825202941895;6,5562825202941895;215700;0,0
1994-03-16;6,556282712702165;6,794692993164062;6,556282712702165;6,7946929931640625;338600;3,64
1994-03-17;6,794690515868057;6,794690515868057;6,635750386841903;6,7152204513549805;195900;-1,17
1994-03-18;6,715221124035971;6,715221124035971;6,596016015325273;6,675486087799072;285700;-0,59
1994-03-21;6,675488683277976;6,675488683277976;6,635753631591797;6,635753631591797;38900;-0,6
1994-03-22;6,635751925319075;6,635751925319075;6,5960168838500985;6,596016883850098;78400;-0,6
1994-03-23;6,596020289028392;6,834430660920984;6,596020289028392;6,754960536956787;209200;2,41
1994-03-24;6,715221124035971;6,715221124035971;6,675486087799072;6,675486087799072;155000;-1,18
1994-03-25;6,675486087799072;6,715221124035971;6,675486087799072;6,675486087799072;91500;0,0
1994-03-28;6,675485419098441;6,71522045135498;6,635750386841903;6,7152204513549805;111200;0,6
1994-03-29;6,715222702604351;6,715222702604351;6,5562825202941895;6,5562825202941895;101200;-2,37
1994-03-30;6,5562832064744905;6,5960182562107;6,476813107002072;6,516548156738281;105000;-0,61
1994-03-31;6,516547474716648;6,5562825202941895;6,516547474716648;6,5562825202941895;108300;0,61
1994-04-04;6,476815191114912;6,476815191114912;6,35761000354838;6,397345066070557;42300;-2,42
1994-04-05;6,437076717974192;6,635751925319075;6,437076717974192;6,596016883850098;55600;3,11
1994-04-06;6,596018579905619;6,635753631591797;6,596018579905619;6,635753631591797;31800;0,6
1994-04-07;6,635751925319075;6,675486966788052;6,5960168838500985;6,596016883850098;52000;-0,6
1994-04-08;6,5960182562107;6,5960182562107;6,516548156738281;6,516548156738281;24000;-1,2
1994-04-11;6,516547407840658;6,556282453010419;6,476812362670898;6,476812362670898;44400;-0,61
1994-04-12;6,476813107002072;6,516548156738281;6,437078057265864;6,516548156738281;15100;0,61
1994-04-13;6,516547407840658;6,516547407840658;6,476812362670898;6,476812362670898;30500;-0,61
1994-04-14;6,476812362670898;6,516547407840658;6,476812362670898;6,476812362670898;38800;0,0
1994-04-15;6,476815191114912;6,516550253637089;6,397345066070557;6,397345066070557;12200;-1,23
1994-04-18;6,397345066070557;6,476815191114912;6,397345066070557;6,397345066070557;39800;0,0
1994-04-19;6,437077045440674;6,476812088931048;6,437077045440674;6,437077045440674;24500;0,62
1994-04-20;6,437077045440674;6,437077045440674;6,3973420019503;6,437077045440674;72000;0,0
1994-04-21;6,437077045440674;6,476812088931048;6,437077045440674;6,437077045440674;15000;0,0
1994-04-22;6,437078057265864;6,516548156738281;6,3973430075296545;6,516548156738281;20700;1,23
1994-04-25;6,516547132421423;6,516547132421423;6,437077045440674;6,437077045440674;27300;-1,22
1994-04-26;6,476813107002072;6,516548156738281;6,476813107002072;6,516548156738281;64000;1,23
1994-04-28;6,516547474716648;6,59601756587173;6,516547474716648;6,5562825202941895;27100;0,61
1994-04-29;6,5562832064744905;6,5562832064744905;6,516548156738281;6,516548156738281;5500;-0,61
1994-05-02;6,516547474716648;6,5562825202941895;6,516547474716648;6,5562825202941895;11700;0,61
1994-05-03;6,5562832064744905;6,5562832064744905;6,476813107002072;6,516548156738281;29000;-0,61
1994-05-04;6,516547132421423;6,516547132421423;6,437077045440674;6,437077045440674;39600;-1,22
1994-05-05;6,437077317501138;6,476812362670898;6,397342272331378;6,476812362670898;7600;0,62
1994-05-06;6,476815191114912;6,476815191114912;6,35761000354838;6,397345066070557;13600;-1,23
1994-05-09;6,3973420019503;6,437077045440674;6,3973420019503;6,437077045440674;3700;0,62
1994-05-10;6,437077045440674;6,437077045440674;6,3973420019503;6,437077045440674;75100;0,0
1994-05-11;6,437077045440674;6,476812088931048;6,3973420019503;6,437077045440674;81400;0,0
1994-05-12;6,437077045440674;6,476812088931048;6,437077045440674;6,437077045440674;7100;0,0
