Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Variation_Pct
2008-04-23;13,335760116577148;13,886022299896128;13,089759971208885;13,335760116577148;23402800;
2008-04-24;13,413447062108746;13,594710310764018;13,14802662625041;13,471710205078125;4960900;1,02
2008-04-25;13,594708103132332;13,75654986626486;13,400498481275164;13,704760551452637;1956800;1,73
2008-04-28;13,91192206188697;13,91192206188697;13,471712134087024;13,594712257385254;709400;-0,8
2008-04-29;13,847183389644776;13,847183389644776;13,478184299813467;13,640026092529297;859700;0,33
2008-04-30;13,64650177305214;13,724186387439863;13,542923110371882;13,691817283630371;893300;0,38
2008-05-01;13,737134067529853;14,242081020966905;13,594713701832045;14,183817863464355;2999000;3,59
2008-05-02;14,345658116306993;14,345658116306993;13,91192201077471;14,248553276062012;1639400;0,46
2008-05-05;14,53339680847966;14,53339680847966;13,95723905481612;14,183817863464355;579000;-0,45
2008-05-06;14,112602620201084;14,151445536144077;13,834235797804997;13,950760841369629;1040200;-1,64
2008-05-07;13,91839368954442;13,983130651330478;13,368131366495183;13,730656623840332;1240100;-1,58
2008-05-08;13,743606961726192;13,788922473447748;13,614134247486758;13,75655460357666;888100;0,19
2008-05-09;13,756554750543533;14,138501545927266;13,614134392932094;14,028449058532715;550400;1,98
2008-05-12;14,047867053485005;14,07376109631497;13,775972812619012;13,9183931350708;1168000;-0,78
2008-05-13;13,937815229058288;13,944289048749791;13,465236269617243;13,801867485046387;1783900;-0,84
2008-05-14;13,277498218882869;13,905443806969487;13,277498218882869;13,788917541503906;649200;-0,09
2008-05-15;13,886025985400272;13,892498570373803;13,659447233926016;13,698288917541504;470400;-0,66
2008-05-16;13,873081221409999;14,015501580689422;13,659450065113305;13,996081352233887;1002400;2,17
2008-05-19;14,170867446752467;14,300341379136615;13,950762502552376;14,080236434936523;802900;0,6
2008-05-20;14,222658349312596;14,222658349312596;13,88602831035782;14,015501022338867;504100;-0,46
2008-05-21;14,144972600761623;14,144972600761623;13,62707813528406;13,698288917541504;407100;-2,26
2008-05-22;13,834241474832448;13,886030815920627;13,672399629587478;13,821293830871582;274600;0,9
2008-05-23;13,756552620177402;13,756552620177402;13,594710824645905;13,685341835021973;464200;-0,98
2008-05-27;13,911910618098537;13,911910618098537;13,627068916520116;13,743595123291016;320300;0,43
2008-05-28;13,659447783103746;13,86660508372158;13,640026323137732;13,86013126373291;403800;0,85
2008-05-29;13,847180766776276;13,918391537204393;13,627075871593602;13,633549690246582;384600;-1,63
