Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Variation_Pct
1973-02-21;1,499165415763855;1,499165415763855;1,499165415763855;1,499165415763855;99200;
1973-02-22;1,5042297840118408;1,5042297840118408;1,5042297840118408;1,5042297840118408;47200;0,34
1973-02-23;1,499165415763855;1,499165415763855;1,499165415763855;1,499165415763855;133600;-0,34
1973-02-26;1,499165415763855;1,499165415763855;1,499165415763855;1,499165415763855;24000;0,0
1973-02-27;1,499165415763855;1,499165415763855;1,499165415763855;1,499165415763855;41600;0,0
1973-02-28;1,499165415763855;1,499165415763855;1,499165415763855;1,499165415763855;66400;0,0
1973-03-01;1,5092955827713013;1,5092955827713013;1,5092955827713013;1,5092955827713013;93600;0,68
1973-03-02;1,5143598318099978;1,5143598318099978;1,5143598318099978;1,5143598318099976;26400;0,34
1973-03-05;1,534618854522705;1,534618854522705;1,534618854522705;1,534618854522705;68000;1,34
1973-03-06;1,5802016258239746;1,5802016258239746;1,5802016258239746;1,5802016258239746;76800;2,97
1973-03-07;1,5802016258239746;1,5802016258239746;1,5802016258239746;1,5802016258239746;51200;0,0
1973-03-08;1,5903323888778687;1,5903323888778687;1,5903323888778687;1,5903323888778687;84800;0,64
1973-03-09;1,5903323888778687;1,5903323888778687;1,5903323888778687;1,5903323888778687;78400;0,0
1973-03-12;1,585266351699829;1,585266351699829;1,585266351699829;1,585266351699829;73600;-0,32
1973-03-13;1,5903323888778687;1,5903323888778687;1,5903323888778687;1,5903323888778687;47200;0,32
1973-03-14;1,5953954458236694;1,5953954458236694;1,5953954458236694;1,5953954458236694;50400;0,32
1973-03-15;1,5903323888778687;1,5903323888778687;1,5903323888778687;1,5903323888778687;70400;-0,32
1973-03-16;1,585266351699829;1,585266351699829;1,585266351699829;1,585266351699829;44800;-0,32
1973-03-19;1,5700714588165283;1,5700714588165283;1,5700714588165283;1,5700714588165283;28000;-0,96
1973-03-20;1,5396841764450073;1,5396841764450073;1,5396841764450073;1,5396841764450073;68800;-1,94
1973-03-21;1,5194234848022463;1,5194234848022463;1,5194234848022463;1,519423484802246;94400;-1,32
1973-03-22;1,494100570678711;1,494100570678711;1,494100570678711;1,494100570678711;55200;-1,67
1973-03-23;1,494100570678711;1,494100570678711;1,494100570678711;1,494100570678711;117600;0,0
1973-03-26;1,489035964012146;1,489035964012146;1,489035964012146;1,489035964012146;9600;-0,34
1973-03-27;1,489035964012146;1,489035964012146;1,489035964012146;1,489035964012146;15200;0,0
1973-03-28;1,5092955827713013;1,5092955827713013;1,5092955827713013;1,5092955827713013;141600;1,36
1973-03-29;1,5295534133911133;1,5295534133911133;1,5295534133911133;1,5295534133911133;120000;1,34
1973-03-30;1,5295534133911133;1,5295534133911133;1,5295534133911133;1,5295534133911133;85600;0,0
1973-04-02;1,5194234848022463;1,5194234848022463;1,5194234848022463;1,519423484802246;52800;-0,66
1973-04-03;1,5092955827713013;1,5092955827713013;1,5092955827713013;1,5092955827713013;23200;-0,67
1973-04-04;1,499165415763855;1,499165415763855;1,499165415763855;1,499165415763855;78400;-0,67
1973-04-05;1,494100570678711;1,494100570678711;1,494100570678711;1,494100570678711;78400;-0,34
1973-04-06;1,494100570678711;1,494100570678711;1,494100570678711;1,494100570678711;36000;0,0
1973-04-09;1,494100570678711;1,494100570678711;1,494100570678711;1,494100570678711;28000;0,0
1973-04-10;1,5295534133911133;1,5295534133911133;1,5295534133911133;1,5295534133911133;88800;2,37
1973-04-11;1,5396841764450073;1,5396841764450073;1,5396841764450073;1,5396841764450073;144000;0,66
1973-04-12;1,5599427223205566;1,5599427223205566;1,5599427223205566;1,5599427223205566;140800;1,32
1973-04-13;1,5599427223205566;1,5599427223205566;1,5599427223205566;1,5599427223205566;13600;0,0
1973-04-16;1,5599427223205566;1,5599427223205566;1,5599427223205566;1,5599427223205566;40000;0,0
1973-04-17;1,5194234848022463;1,5194234848022463;1,5194234848022463;1,519423484802246;92800;-2,6
1973-04-18;1,5143598318099978;1,5143598318099978;1,5143598318099978;1,5143598318099976;25600;-0,33
1973-04-19;1,5194234848022463;1,5194234848022463;1,5194234848022463;1,519423484802246;39200;0,33
1973-04-23;1,499165415763855;1,499165415763855;1,499165415763855;1,499165415763855;48000;-1,33
1973-04-24;1,489035964012146;1,489035964012146;1,489035964012146;1,489035964012146;134400;-0,68
1973-04-25;1,478906512260437;1,478906512260437;1,478906512260437;1,478906512260437;59200;-0,68
1973-04-26;1,478906512260437;1,478906512260437;1,478906512260437;1,478906512260437;33600;0,0
1973-04-27;1,468777060508728;1,468777060508728;1,468777060508728;1,468777060508728;36800;-0,68
1973-04-30;1,4485177993774414;1,4485177993774414;1,4485177993774414;1,4485177993774414;91200;-1,38
1973-05-01;1,4383881092071533;1,4383881092071533;1,4383881092071533;1,4383881092071533;295200;-0,7
1973-05-02;1,4434531927108765;1,4434531927108765;1,4434531927108765;1,4434531927108765;61600;0,35
1973-05-03;1,4434528560705588;1,4586470966607752;1,4383881092071533;1,4383881092071533;56000;-0,35
1973-05-04;1,4535818099975586;1,473840789927838;1,4535818099975586;1,4535818099975586;43200;1,06
1973-05-07;1,4586472511291504;1,4789062407281663;1,4586472511291504;1,4586472511291504;42400;0,35
1973-05-08;1,463712215423584;1,4839712080246026;1,463712215423584;1,463712215423584;28800;0,35
1973-05-09;1,5042297840118408;1,5244887710018993;1,5042297840118408;1,5042297840118408;58400;2,77
1973-05-10;1,5396841764450073;1,5599431787666522;1,5396841764450073;1,5396841764450073;70400;2,36
1973-05-11;1,5447478294372559;1,5650068173643017;1,5447478294372559;1,5447478294372559;26400;0,33
1973-05-14;1,5092949567197942;1,5092949567197942;1,489035964012146;1,489035964012146;151200;-3,61
1973-05-15;1,4890361060054635;1,504230351985111;1,483971357345581;1,483971357345581;163200;-0,34
1973-05-16;1,5143598318099978;1,5346188262154825;1,5143598318099978;1,5143598318099976;75200;2,05
1973-05-17;1,5143598318099978;1,5346188262154825;1,5143598318099978;1,5143598318099976;27200;0,0
1973-05-18;1,5143596598425428;1,519424407868772;1,499165415763855;1,499165415763855;59200;-1,0
