Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Variation_Pct
1962-01-02;0,06338623962722872;0,06400935727052957;0,06338623962722872;0,06374237686395645;633830;
1962-01-03;0,06374236089835475;0,06374236089835475;0,060537458097877715;0,06107158213853836;6564672;-4,19
1962-01-04;0,06107161912367849;0,06160574348780632;0,060181362201092874;0,060448501259088516;1199750;-1,02
1962-01-05;0,06018133506243862;0,06018133506243862;0,05804468001283851;0,05840081721544266;520646;-3,39
1962-01-08;0,05840082092863479;0,05893494028111677;0,05822282919191285;0,05857880786061287;1380845;0,3
1962-01-09;0,05875693264154853;0,05955820027564394;0,05875693264154853;0,05884592607617378;1177114;0,46
1962-01-10;0,05902395106241734;0,06018135654368705;0,05902395106241734;0,059825219213962555;882835;1,66
1962-01-11;0,059825201128487854;0,06018133835055018;0,05929107697603945;0,06000335142016411;588557;0,3
1962-01-12;0,06000336955949458;0,06053748906866627;0,059825219213962555;0,059825219213962555;407462;-0,3
1962-01-15;0,05982521509338753;0,06018135239858239;0,0591131038443261;0,059291090816259384;792288;-0,89
1962-01-16;0,05893494028111677;0,05893494028111677;0,05840082092863479;0,05857880786061287;384826;-1,2
1962-01-17;0,058578813900395856;0,05875695940728942;0,05715442821383476;0,05715442821383476;498010;-2,43
1962-01-18;0,0571544343751012;0,05822284147143364;0,05679830187948697;0,05822284147143364;1177114;1,87
1962-01-19;0,058400834038681335;0,059647228121454246;0,058400834038681335;0,059291090816259384;633830;1,83
1962-01-22;0,0592911430455468;0,059469130174268095;0,05840088548374507;0,05875701829791069;837562;-0,9
1962-01-23;0,05857880413610412;0,05857880413610412;0,05804468001283851;0,05840081721544266;928109;-0,61
1962-01-24;0,058400800346555634;0,05893491951079904;0,05768852614708548;0,05884592607617378;996019;0,76
1962-01-25;0,05884594681512773;0,05884594681512773;0,05840082092863479;0,05857880786061287;611194;-0,45
1962-01-26;0,058400826950066397;0,058400826950066397;0,05715442821383476;0,05715442821383476;928109;-2,43
1962-01-29;0,05742156242924217;0,05857880413610412;0,05742156242924217;0,05840081721544266;747014;2,18
1962-01-30;0,05840084333266397;0,05884596938991843;0,05831184983253479;0,05831184983253479;882835;-0,15
1962-01-31;0,05831184427885741;0,05911310762166977;0,058222845982458804;0,05911310762166977;814925;1,37
1962-02-01;0,05911308157463707;0,05946905538439751;0,05893493130849009;0,05946905538439751;498010;0,6
1962-02-02;0,05946905538439751;0,05946905538439751;0,05911308157463707;0,05946905538439751;430099;0,0
1962-02-05;0,059469077788192666;0,059647228121454246;0,05893495351106452;0,059291090816259384;928109;-0,3
1962-02-06;0,05938007044123249;0,0600033514201641;0,05938007044123249;0,06000335142016411;1448755;1,2
1962-02-07;0,06000336629401219;0,06009235978126526;0,05955823549641622;0,06009235978126526;588557;0,15
1962-02-08;0,06009235978126526;0,06018135326851832;0,05955823549641622;0,06009235978126526;475373;0,0
1962-02-09;0,060092376005241296;0,060626495629549026;0,05982523211002688;0,060626495629549026;679104;0,89
1962-02-12;0,06053747074679434;0,06053747074679434;0,06018133832959982;0,060359325259923935;135821;-0,44
1962-02-13;0,06035931264822967;0,06107158213853836;0,06018132575509478;0,06107158213853836;1222387;1,18
1962-02-14;0,061071612308748274;0,06160573661327362;0,06089362532768539;0,06160573661327362;1041293;0,87
1962-02-15;0,06160575587516355;0,06231803074479103;0,06151676235680705;0,06231803074479103;928109;1,16
1962-02-16;0,06222902572544065;0,06222902572544065;0,06169473799127172;0,06187288835644722;769651;-0,71
1962-02-19;0,061872880446204634;0,062229017769667085;0,06160573661327362;0,06160573661327362;1471392;-0,43
1962-02-20;0,06160580100281684;0,06320833414793015;0,061427813835724196;0,06320833414793015;1607213;2,6
1962-02-21;0,0633862581843881;0,06392038251520316;0,0633862581843881;0,06365340203046799;950746;0,7
1962-02-23;0,06365339821626026;0,06427651600464887;0,06338625438618804;0,06392037868499756;1154477;0,42
1962-02-26;0,06392034825479435;0,06427648540490145;0,06329723076304981;0,0633862242102623;2037312;-0,84
1962-02-27;0,06303015100867912;0,06303015100867912;0,06258501999367481;0,0628521591424942;837562;-0,84
1962-02-28;0,06285212283751392;0,06356439739465714;0,06276312935820004;0,06356439739465714;452736;1,13
1962-03-01;0,0635644381435768;0,06392041228903479;0,06347528124579149;0,06383141875267029;611194;0,42
1962-03-02;0,06383137783259878;0,06392037131191265;0,06320826011608553;0,06356439739465714;905472;-0,42
1962-03-05;0,06356439739465714;0,06365339087397101;0,0624959903636869;0,06356439739465714;905472;0,0
1962-03-06;0,06385062076988765;0,0645659385228185;0,06385062076988765;0,06438715010881424;1109203;1,29
1962-03-07;0,06438707270199691;0,06483420729637146;0,06420812040621716;0,06483420729637146;1041293;0,69
1962-03-08;0,06483422400764585;0,0654601421360424;0,06474466578831371;0,06528135389089584;294278;0,69
1962-03-09;0,06528135829504879;0,06599667542065217;0,06474467015625944;0,06572849303483963;1177114;0,68
1962-03-12;0,06572849303483963;0,06599667542065217;0,06546014655225715;0,06572849303483963;2444774;0,0
1962-03-13;0,0660860549861778;0,06724867069214169;0,0660860549861778;0,06635440140962601;2241043;0,95
1962-03-14;0,06653321534395218;0,0670699035719156;0,06653321534395218;0,06653321534395218;1539302;0,27
1962-03-15;0,06653322379463837;0,06689096451070412;0,06635443548501452;0,06680157035589218;814925;0,4
1962-03-16;0,06680151539221173;0,06724864989519119;0,06653316905175084;0,06724864989519119;928109;0,67
1962-03-19;0,06724867859112217;0,06724867859112217;0,0668909380167492;0,06698033213615417;724378;-0,4
1962-03-20;0,06698037035612737;0,06751705874593046;0,06653323540720772;0,066622793674469;1267661;-0,53
1962-03-21;0,06662277131043613;0,06715930024966753;0,0659966841340065;0,0659966841340065;2059949;-0,94
1962-03-22;0,06617561562529502;0,06724867316507992;0,06617561562529502;0,06689093261957169;565920;1,35
1962-03-23;0,06724866670136653;0,06787458469691528;0,06724866670136653;0,06769579648971558;1063930;1,2
1962-03-26;0,06769577957179763;0,06787456773431622;0,06724864989519119;0,06724864989519119;769651;-0,66
1962-03-27;0,06724866624613163;0,06742745445212103;0,06689092573742988;0,067069873213768;588557;-0,27
1962-03-28;0,06706988011432101;0,06706988011432101;0,06653319207406345;0,06689093261957169;1358208;-0,27
1962-03-29;0,06706985690629959;0,06724864989519119;0,06706985690629959;0,06724864989519119;294278;0,53
1962-03-30;0,06724864587536357;0,06760638144932686;0,06689090547502753;0,06742743402719498;905472;0,27
1962-04-02;0,06742740267935222;0,06742740267935222;0,0668908743766235;0,06715922057628632;520646;-0,4
1962-04-03;0,06698034787206267;0,06698034787206267;0,0659966841340065;0,0659966841340065;701741;-1,73
1962-04-04;0,0659966841340065;0,066265030652018;0,06581789585319323;0,0659966841340065;747014;0,0
1962-04-05;0,06599666382916605;0,06599666382916605;0,06554952916790881;0,06590726971626282;814925;-0,14
1962-04-06;0,06581789687568375;0,06581789687568375;0,06367162181500007;0,06385057419538498;656467;-3,12
1962-04-09;0,06385056232349483;0,06385056232349483;0,0631350811285746;0,0634034276008606;565920;-0,7
1962-04-10;0,06340343021798021;0,06474467034448197;0,06313508373461761;0,06456588208675385;611194;1,83
1962-04-11;0,06456587558501438;0,06492361616121681;0,06420813500881195;0,06420813500881195;271642;-0,55
1962-04-12;0,06385058002745948;0,06385058002745948;0,0625985744639605;0,06277736276388168;724378;-2,23
1962-04-13;0,06277732457486102;0,06367158889770508;0,06134652675545429;0,06367158889770508;882835;1,42
1962-04-16;0,06367164318101295;0,06402938396503415;0,06259858975217653;0,0629563257098198;973382;-1,12
1962-04-17;0,06295630306563654;0,06322448548455542;0,06134655699133874;0,06134655699133873;633830;-2,56
1962-04-18;0,06134652150309034;0,062240790575742715;0,06134652150309034;0,06224079057574272;498010;1,46
1962-04-19;0,06259855422507962;0,06295628997969403;0,06259855422507962;0,062687948346138;339552;0,72
1962-04-23;0,06268796861392109;0,06313509863415646;0,062419622067230174;0,06277736276388168;407462;0,14
1962-04-24;0,06277731887961108;0,06313505449981198;0,06215139617062691;0,062419578433036804;679104;-0,57
