Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Variation_Pct
1981-12-31;2,469758987426758;2,4756533229507642;2,463864502580779;2,469758987426758;33868;
1982-01-04;2,4638653444803564;2,4697598313404736;2,4579708576202393;2,4579708576202393;65080;-0,48
1982-01-05;2,4638653444803564;2,4697598313404736;2,4579708576202393;2,4579708576202393;318096;0,0
1982-01-06;2,3990256264050935;2,446180902195018;2,345976015802406;2,375447988510132;369231;-3,36
1982-01-07;2,3165046754175767;2,3341879844665527;2,2929271788889496;2,3341879844665527;151411;-1,74
1982-01-08;2,381342339818643;2,4284979145791254;2,3341872130240255;2,4167089462280273;305479;3,54
1982-01-11;2,287032590212098;2,404920814179011;2,1632497310638428;2,1632497310638428;687327;-10,49
1982-01-12;2,1455669616034982;2,1691444597138947;2,1160948276519775;2,1160948276519775;238406;-2,18
1982-01-13;2,0571494745327437;2,098410108795076;2,0158886909484863;2,0158886909484863;478141;-4,74
1982-01-14;2,0394669834852217;2,051255804800559;2,0276780128479004;2,0276780128479004;130160;0,58
1982-01-15;2,0630444482394075;2,0866222381591797;2,0394668076416065;2,0866222381591797;564471;2,91
1982-01-18;2,0571512100246503;2,0689400366116493;2,0394678954831265;2,0453622341156006;813503;-1,98
1982-01-19;2,051255226135254;2,06304404412493;2,0335719244897694;2,051255226135254;345324;0,29
1982-01-20;2,0807268328147472;2,116093278064986;2,045360238242604;2,104304313659668;763033;2,59
1982-01-21;2,1514616174491357;2,1750389680931264;2,1219893318560423;2,169144630432129;56447;3,08
1982-01-22;2,2045110592132757;2,228088855743408;2,180933262683143;2,228088855743408;82346;2,72
1982-01-25;2,2752442359924316;2,2870330608149096;2,263455411169954;2,2752442359924316;70393;2,12
1982-01-26;2,292928457260132;2,3106114775238726;2,2752451383522154;2,292928457260132;292861;0,78
1982-01-27;2,292928457260132;2,292928457260132;2,2870339678501304;2,292928457260132;95628;0,0
1982-01-28;2,2929272015165347;2,2988216876983643;2,2870327153347056;2,2988216876983643;67072;0,26
1982-01-29;2,316504716873169;2,3341880262386008;2,2929272199226047;2,316504716873169;115551;0,77
1982-02-01;2,3341879844665527;2,3577657796391884;2,3106101892939166;2,3341879844665527;320753;0,76
1982-02-02;2,3459767253056762;2,3695545196533203;2,3223989309580317;2,3695545196533203;79690;1,52
1982-02-03;2,4108146958667467;2,4992309163450392;2,3223983260664944;2,3459761142730713;929718;-1,0
1982-02-04;2,3459763910086635;2,381342704185502;2,3106097791878693;2,3282930850982666;195241;-0,75
1982-02-05;2,3459759911895763;2,369553778159126;2,3165038694691034;2,357764959335327;132817;1,27
1982-02-08;2,328294796431789;2,3577670941597084;2,292928457260132;2,292928457260132;71057;-2,75
1982-02-09;2,263455435420985;2,2870330853185554;2,2339831490659767;2,245772123336792;156724;-2,06
1982-02-10;2,198616766703196;2,2280890522962893;2,169144630432129;2,169144630432129;39181;-3,41
1982-02-11;2,1573555438484937;2,169144216923187;2,1455667214518024;2,1632497310638428;61096;-0,27
1982-02-12;2,1514614051272893;2,163249929963881;2,1337780952453613;2,1337780952453613;51134;-1,36
1982-02-16;2,1514597560175925;2,180931568145752;2,121987495923742;2,180931568145752;71057;2,21
1982-02-17;2,2045108153414117;2,2104053011523765;2,1927218437194824;2,1927218437194824;35196;0,54
1982-02-18;2,210405545676312;2,2339828942404054;2,1868277491461794;2,228088855743408;161372;1,61
1982-02-19;2,2221951484680176;2,2280896369978898;2,216300659938145;2,2221951484680176;94300;-0,26
1982-02-22;2,2045112536862197;2,2398775782962583;2,169144630432129;2,169144630432129;146763;-2,39
1982-02-23;2,1667619938269467;2,178667273707426;2,154856713946467;2,160809278488159;71721;-0,38
1982-02-24;2,172716024606842;2,184621010100841;2,1608105867212832;2,1667633056640625;67737;0,28
1982-02-25;2,1846206770151917;2,19057339505037;2,1727156933363267;2,178668260574341;71057;0,55
1982-02-26;2,178668260574341;2,178668260574341;2,178668260574341;2,178668260574341;4649;0,0
1982-03-01;2,178668260574341;2,178668260574341;2,178668260574341;2,178668260574341;17930;0,0
1982-03-02;2,1846206770151917;2,19057339505037;2,178668260574341;2,178668260574341;19258;0,0
1982-03-03;2,196526050567627;2,2143840545937175;2,178668348135876;2,196526050567627;108910;0,82
1982-03-04;2,196526050567627;2,202478768842047;2,1905734830903767;2,196526050567627;182623;0,0
1982-03-05;2,1965257822346893;2,202478499781911;2,190573215484619;2,190573215484619;102269;-0,27
1982-03-08;2,1548584979675547;2,2024795061181135;2,1072373390197754;2,1072373390197754;222468;-3,8
1982-03-09;2,0298522684809566;2,0774734130744887;1,9762782546174704;2,0358049869537354;230437;-3,39
1982-03-10;2,0477116107940674;2,0596170572704766;2,0358066167095443;2,0477116107940674;183287;0,58
1982-03-11;2,011994348800584;2,0596154954045485;1,9584206342697144;1,9584206342697144;389817;-4,36
1982-03-12;1,8988943386704127;1,9286577883785085;1,869131341353965;1,8929420709609985;312120;-3,34
1982-03-15;1,8929420709609983;1,8988943386704127;1,8810366307588737;1,8929420709609985;303486;0,0
1982-03-16;1,8929420709609983;1,8988943386704127;1,886989350859936;1,8929420709609985;309463;0,0
1982-03-17;1,9048465464079305;1,9107992649078371;1,8929415617996435;1,910799264907837;250360;0,94
1982-03-18;1,958420483439044;1,9762781858444214;1,9346097611736988;1,9762781858444214;261649;3,43
1982-03-19;2,011994953285084;2,0179476737976074;2,000089663057263;2,0179476737976074;87659;2,11
1982-03-22;2,065567491036555;2,0774729251861572;2,047709490609291;2,0774729251861572;29220;2,95
1982-03-23;2,10723720289984;2,1429529190063477;2,0715211851989115;2,1429529190063477;102933;3,15
1982-03-24;2,148904917613506;2,154857635498047;2,142952199728965;2,154857635498047;34532;0,56
1982-03-25;2,1846204979373973;2,2143837840792027;2,1548575133898944;2,190573215484619;110238;1,66
1982-03-26;2,196526880383102;2,2143848911556856;2,1786691712049717;2,202479600906372;115551;0,54
1982-03-29;2,208431986992044;2,2143845558166504;2,2024792673702343;2,2143845558166504;117543;0,54
1982-03-30;2,232243087910234;2,2381956577301025;2,22033764667604;2,2381956577301025;33204;1,08
1982-03-31;2,2322427146820805;2,250100722750307;2,2143845558166504;2,2143845558166504;141450;-1,06
1982-04-01;2,202478768842047;2,2143840545937175;2,1905734830903767;2,196526050567627;140122;-0,81
1982-04-02;2,2441473891255828;2,2858158118888796;2,1965259467748255;2,262005090713501;624903;2,98
1982-04-05;2,1965265180146045;2,250100692291267;2,142952796129547;2,1489055156707764;454234;-5,0
1982-04-06;2,1608105867212832;2,1667633056640625;2,148905299632911;2,1667633056640625;154068;0,83
1982-04-07;2,1786684701390793;2,1905736057602554;2,166763183720725;2,172715902328491;238406;0,27
1982-04-08;2,172715902328491;2,1786684701390793;2,166763183720725;2,172715902328491;75042;0,0
1982-04-12;2,2322418958669625;2,2620048798697514;2,2024784594727285;2,2500998973846436;253016;3,56
1982-04-13;2,3512947588054303;2,381058197388814;2,3215317726135254;2,3215317726135254;272274;3,17
1982-04-14;2,315579536818654;2,3274845226578953;2,297721530269624;2,309626817703247;118207;-0,51
1982-04-15;2,309626817703247;2,3215322559340614;2,297721530269624;2,309626817703247;164693;0,0
1982-04-16;2,315579536818654;2,3274845226578953;2,297721530269624;2,309626817703247;178639;0,0
1982-04-19;2,315579536818654;2,3215322559340614;2,309626817703247;2,309626817703247;27892;0,0
1982-04-20;2,3036739826202393;2,3096265502491495;2,297721264194155;2,3036739826202393;65744;-0,26
1982-04-21;2,279862642288208;2,285815359102197;2,2679573594573625;2,279862642288208;67072;-1,03
1982-04-22;2,2798646626307493;2,2977226781007807;2,262006647160718;2,2858173847198486;278251;0,26
1982-04-23;2,2977198350850117;2,303672549808695;2,2858145564347243;2,291767120361328;74377;0,26
1982-04-26;2,3155779946126125;2,3453409671783447;2,285814720452699;2,3453409671783447;79690;2,34
1982-04-27;2,345342731238706;2,3572481704950747;2,333437442779541;2,333437442779541;58439;-0,51
1982-04-28;2,3274853581547648;2,339390800659273;2,315580368041992;2,315580368041992;136801;-0,77
1982-04-29;2,3096265502491495;2,3155792686752337;2,297721264194155;2,3036739826202393;56447;-0,51
1982-04-30;2,303672549808695;2,309625113735299;2,291767120361328;2,291767120361328;53127;-0,52
1982-05-03;2,351295858490102;2,416775031765652;2,2858168360117825;2,3929646015167236;479469;4,42
1982-05-04;2,4465369873320815;2,494158123222174;2,3989157006448423;2,4703474044799805;1107692;3,23
1982-05-05;2,5417800228994847;2,5953540462485867;2,4822535816180404;2,5477325916290283;614278;3,13
1982-05-06;2,54773197229425;2,5834479791780214;2,50606369972229;2,50606369972229;935695;-1,64
1982-05-07;2,5179686243979824;2,5358267760789412;2,494158057084324;2,5120160579681396;293525;0,24
1982-05-10;2,51201699074555;2,5239222788231235;2,494158983230591;2,494158983230591;405755;-0,71
1982-05-11;2,4822535443558182;2,494158983230591;2,4703482562782453;2,494158983230591;138129;0,0
1982-05-12;2,4941586164435505;2,565590183607177;2,42272674768557;2,4286794662475586;77034;-2,63
1982-05-13;2,422726123895141;2,4346315579537716;2,410820840633648;2,416773557662964;68401;-0,49
1982-05-14;2,4227278232574463;2,42868054446215;2,4108225316452825;2,4227278232574463;189264;0,25
1982-05-17;2,422726724046331;2,428679442550237;2,4108214378356934;2,4108214378356934;18594;-0,49
1982-05-18;2,416774179920758;2,4286794662475586;2,3989161750319687;2,4286794662475586;35861;0,74
1982-05-19;2,4465375747215763;2,4763007164001465;2,4167742822458225;2,4763007164001465;118207;1,96
1982-05-20;2,4286803222887308;2,4763014843810467;2,3751065903334903;2,3929646015167236;237742;-3,37
1982-05-21;2,3989169597625732;2,404869529474582;2,392964540847791;2,3989169597625732;98949;0,25
1982-05-24;2,404869715368705;2,416775157307454;2,387012004852295;2,387012004852295;326729;-0,5
1982-05-25;2,4206480979919434;2,438667879599111;2,4026286207112904;2,4206480979919434;209186;1,41
1982-05-26;2,3966219425201416;2,402628587026069;2,3906152980142137;2,3966219425201416;154068;-0,99
1982-05-27;2,4086356879607433;2,4206486756814196;2,390615902053141;2,414642333984375;128168;0,75
1982-05-28;2,3846079550004826;2,4026277299267416;2,3665880279110225;2,378601312637329;159380;-1,49
1982-06-01;2,3545760384371923;2,372595822111617;2,330549913810084;2,348569393157959;85003;-1,26
1982-06-02;2,336556031552992;2,3485688629094343;2,324542895870068;2,342562675476074;103597;-0,26
1982-06-03;2,3245429255855607;2,34256270542192;2,306523145749201;2,3185362815856934;80354;-1,03
1982-06-04;2,3185369037086154;2,366589307785034;2,3065237646486896;2,366589307785034;118207;2,07
1982-06-07;2,360583234357374;2,3786030222351813;2,3425637508061885;2,354576587677002;35196;-0,51
1982-06-08;2,354575506832517;2,3665886425154405;2,342562675476074;2,342562675476074;39845;-0,51
