Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Variation_Pct
1980-03-17;2,3809547424316406;2,448340211041037;2,3809547424316406;2,3809547424316406;44550;
1980-03-18;2,3921845733577727;2,425877185526276;2,3921845733577727;2,4146463871002197;34425;1,42
1980-03-19;2,403416633605957;2,403416633605957;2,3809548100977986;2,403416633605957;9113;-0,47
1980-03-20;2,3809547424316406;2,3809547424316406;2,3809547424316406;2,3809547424316406;7088;-0,93
1980-03-21;2,3809551216589004;2,392185926437378;2,3584930783210307;2,392185926437378;24300;0,47
1980-03-24;2,39218612350758;2,39218612350758;2,347262466911909;2,3697245121002197;43538;-0,94
1980-03-25;2,369724217965654;2,380955022275346;2,3135695457458496;2,3135695457458496;61763;-2,37
1980-03-26;2,313569749717353;2,358493187807159;2,313569749717353;2,347262382507324;81000;1,46
1980-03-27;2,313569588413729;2,313569588413729;2,2461841106414795;2,2461841106414795;74419;-4,31
1980-03-28;2,2461837765451285;2,26864538223783;2,2461837765451285;2,2574145793914795;31388;0,5
1980-03-31;2,279878169148484;2,302339792251587;2,279878169148484;2,302339792251587;30881;1,99
1980-04-01;2,3023387539647375;2,3135699942325076;2,223722457885742;2,223722457885742;266288;-3,41
1980-04-02;2,223722457885742;2,223722457885742;2,2012606280216738;2,223722457885742;2531;0,0
1980-04-03;2,2461848967847233;2,324801206588745;2,2461848967847233;2,324801206588745;80494;4,55
1980-04-07;2,3247989489208565;2,336029529571533;2,3023369200582313;2,336029529571533;64800;0,48
1980-04-08;2,3360305441415683;2,4258780479431152;2,3135691561946086;2,4258780479431152;181744;3,85
1980-04-09;2,4258780479431152;2,437109284142625;2,3921854237966453;2,4258780479431152;33919;0,0
1980-04-10;2,425877185526276;2,425877185526276;2,4034155886741635;2,4146463871002197;22781;-0,46
1980-04-11;2,4146478649777343;2,4146478649777343;2,347262382507324;2,347262382507324;34425;-2,79
1980-04-14;2,3472607608931635;2,3472607608931635;2,336029529571533;2,336029529571533;15694;-0,48
1980-04-15;2,336029529571533;2,336029529571533;2,336029529571533;2,336029529571533;21263;0,0
1980-04-16;2,33603244379683;2,3472636891295577;2,302339792251587;2,302339792251587;22781;-1,44
1980-04-17;2,302338350116009;2,302338350116009;2,2461841106414795;2,2461841106414795;268819;-2,44
1980-04-18;2,2798774242401123;2,2911082321222023;2,2798774242401123;2,2798774242401123;10631;1,5
1980-04-21;2,279876741082378;2,291107545599193;2,2461841106414795;2,2461841106414795;12656;-1,48
1980-04-22;2,2461844512208486;2,2911078929901123;2,2461844512208486;2,2911078929901123;16706;2,0
1980-04-23;2,336031034983161;2,392185926437378;2,336031034983161;2,392185926437378;62775;4,41
1980-04-24;2,3921855454213286;2,3921855454213286;2,3697239394419527;2,3809547424316406;4050;-0,47
1980-04-25;2,369722789755788;2,369722789755788;2,336029529571533;2,336029529571533;11644;-1,89
1980-04-28;2,336029529571533;2,369722789755788;2,336029529571533;2,336029529571533;151369;0,0
1980-04-29;2,324801206588745;2,324801206588745;2,324801206588745;2,324801206588745;2025;-0,48
1980-04-30;2,3135710375843153;2,3135710375843153;2,2911089807000358;2,302339792251587;17719;-0,97
1980-05-01;2,302338307655261;2,3248003500555416;2,291107503345569;2,3135695457458496;9113;0,49
1980-05-02;2,302338350116009;2,302338350116009;2,2461841106414795;2,2461841106414795;23288;-2,91
1980-05-05;2,2461841106414795;2,2574149151582947;2,2461841106414795;2,2461841106414795;13669;0,0
1980-05-06;2,2461841106414795;2,2574149151582947;2,2349528723437593;2,2461841106414795;31894;0,0
1980-05-07;2,2237235378606144;2,2237235378606144;2,2012616970877152;2,2124929428100586;82013;-1,5
1980-05-08;2,2012598514556885;2,2012598514556885;2,1563362075758272;2,2012598514556885;329569;-0,51
1980-05-09;2,2012599534877824;2,2012599534877824;2,1563363075256348;2,1563363075256348;11644;-2,04
1980-05-12;2,156335645827602;2,1787972450256348;2,145104629338228;2,1787972450256348;18731;1,04
1980-05-13;2,1787972450256348;2,1787972450256348;2,156335645827602;2,1787972450256348;4556;0,0
1980-05-14;2,1787985812671145;2,223722457885742;2,1675677747803253;2,223722457885742;23288;2,06
1980-05-15;2,223721673395619;2,223721673395619;2,2012598514556885;2,2012598514556885;28350;-1,01
1980-05-16;2,2012606280216738;2,2349532643725314;2,2012606280216738;2,223722457885742;53156;1,02
1980-05-19;2,1787972450256348;2,1787972450256348;2,156335645827602;2,1787972450256348;85556;-2,02
1980-05-20;2,178799015512253;2,178799015512253;2,1675682067871094;2,1675682067871094;8100;-0,52
1980-05-21;2,1675677747803253;2,223722457885742;2,1675677747803253;2,223722457885742;39994;2,59
1980-05-22;2,24618271546294;2,3584915584341584;2,24618271546294;2,336029529571533;33413;5,05
1980-05-23;2,336031680541079;2,336031680541079;2,2798774242401123;2,2798774242401123;32906;-2,4
1980-05-27;2,279877086770418;2,2911078929901123;2,2461844512208486;2,2911078929901123;42525;0,49
1980-05-28;2,2911082321222023;2,313570281667417;2,2574155915854153;2,2798774242401123;153394;-0,49
1980-05-29;2,279875324976242;2,336029529571533;2,257413513003935;2,336029529571533;84038;2,46
1980-05-30;2,336031334759376;2,336031334759376;2,2911078929901123;2,2911078929901123;39994;-1,92
1980-06-02;2,2911078929901123;2,3135699392104723;2,2911078929901123;2,2911078929901123;7088;0,0
1980-06-03;2,2911078929901123;2,3135699392104723;2,2911078929901123;2,2911078929901123;3038;0,0
1980-06-04;2,291106122517237;2,336029529571533;2,291106122517237;2,336029529571533;13163;1,96
1980-06-05;2,369724006788934;2,403416633605957;2,369724006788934;2,403416633605957;27844;2,88
1980-06-06;2,3809547424316406;2,3809547424316406;2,358492702671419;2,3809547424316406;7088;-0,93
1980-06-09;2,3809547424316406;2,4258781712808153;2,3697239394419527;2,3809547424316406;33413;0,0
1980-06-10;2,38095465174341;2,4034164737576598;2,358492612838745;2,358492612838745;33413;-0,94
1980-06-11;2,3584915584341584;2,40341539926909;2,3135681513798616;2,336029529571533;68850;-0,95
1980-06-12;2,336030937474785;2,3584929798750656;2,3135695457458496;2,3135695457458496;30375;-0,96
1980-06-13;2,3135710375843153;2,3135710375843153;2,302339792251587;2,302339792251587;26831;-0,49
1980-06-16;2,3023391559127067;2,336031798145708;2,3023391559127067;2,324801206588745;53156;0,98
1980-06-17;2,3248005550171875;2,3697244268879287;2,3248005550171875;2,347262382507324;20756;0,97
1980-06-18;2,3472618102768275;2,358492612838745;2,3360305739340803;2,358492612838745;19744;0,48
1980-06-19;2,3584938488217464;2,3584938488217464;2,324801206588745;2,324801206588745;9619;-1,43
1980-06-20;2,3135699392104723;2,3135699392104723;2,2911078929901123;2,2911078929901123;37463;-1,45
1980-06-23;2,2911089807000358;2,3135710375843153;2,2911089807000358;2,302339792251587;36956;0,49
1980-06-24;2,302338636446887;2,3135698761413828;2,268646001815796;2,268646001815796;251100;-1,46
1980-06-25;2,2686465136797054;2,324801206588745;2,2686465136797054;2,324801206588745;46069;2,48
1980-06-26;2,3248010895495064;2,3248010895495064;2,2798774242401123;2,2798774242401123;16200;-1,93
1980-06-27;2,2798764019746014;2,291107204820952;2,2574145793914795;2,2574145793914795;8606;-0,99
1980-06-30;2,2574144883663956;2,26864529075989;2,234952449798584;2,234952449798584;40500;-1,0
1980-07-01;2,234953150294226;2,29110783053335;2,234953150294226;2,268646001815796;8606;1,51
1980-07-02;2,2798766990358774;2,3472621755653735;2,2798766990358774;2,3135695457458496;16706;1,98
1980-07-03;2,3135695457458496;2,3135695457458496;2,291107503345569;2,3135695457458496;7594;0,0
1980-07-07;2,313570398141254;2,336031798145708;2,2911083474652156;2,324801206588745;7088;0,49
1980-07-08;2,3472618102768275;2,3697238491814923;2,3472618102768275;2,358492612838745;6075;1,45
1980-07-09;2,358492702671419;2,3809547424316406;2,336030662911197;2,3809547424316406;152888;0,95
1980-07-10;2,3809546213779598;2,4258780479431152;2,3809546213779598;2,4258780479431152;33413;1,89
1980-07-11;2,425877185526276;2,425877185526276;2,3921845733577727;2,4146463871002197;36450;-0,46
1980-07-14;2,4371087368740163;2,4820321533513265;2,4371087368740163;2,47080135345459;286031;2,33
1980-07-15;2,4932640247222078;2,5269570895630205;2,4932640247222078;2,51572585105896;177694;1,82
1980-07-16;2,515725936660342;2,5381879806518555;2,515725936660342;2,5381879806518555;60244;0,89
1980-07-17;2,549417714440981;2,6055723670415323;2,549417714440981;2,5831103324890137;40500;1,77
1980-07-18;2,6055735213505877;2,6504969596862793;2,6055735213505877;2,6504969596862793;24300;2,61
1980-07-21;2,6504969596862793;2,672959004189828;2,6168043267118932;2,6504969596862793;20250;0,0
1980-07-22;2,6504973796075535;2,67295942766979;2,628035982216826;2,661728620529175;88088;0,42
1980-07-23;2,661728620529175;2,661728620529175;2,6392665724669384;2,661728620529175;12150;0,0
1980-07-24;2,661727046413576;2,706650465299332;2,639265011635136;2,6841890811920166;146813;0,84
1980-07-25;2,684190807619679;2,7066522061737994;2,672959566116333;2,672959566116333;22781;-0,42
1980-07-28;2,672957754359915;2,7178816054709096;2,672957754359915;2,6954197883605957;79481;0,84
1980-07-29;2,695421516949752;2,717883348464966;2,672959468544031;2,717883348464966;45563;0,83
1980-07-30;2,717882034785927;2,7964982986450195;2,7066507991211397;2,7964982986450195;17719;2,89
1980-07-31;2,796498661812445;2,81896070227825;2,751575231552124;2,751575231552124;308813;-1,61
1980-08-01;2,751576852064296;2,7852694988250732;2,7403456083264413;2,7852694988250732;93150;1,22
1980-08-04;2,785267164960388;2,8077291998333234;2,774035930633545;2,774035930633545;44550;-0,4
1980-08-05;2,774035930633545;2,79649796550648;2,774035930633545;2,774035930633545;10631;0,0
1980-08-06;2,7740362610962483;2,7964982986450195;2,7740362610962483;2,7964982986450195;7594;0,81
1980-08-07;2,796498661812445;2,796498661812445;2,740343994428792;2,751575231552124;224269;-1,61
1980-08-08;2,762805130087453;2,774035930633545;2,762805130087453;2,774035930633545;9113;0,82
1980-08-11;2,7740382550872185;2,7852694988250732;2,7403456083264413;2,7852694988250732;95175;0,4
1980-08-12;2,7740361924174293;2,7740361924174293;2,7403435707092285;2,7403435707092285;15188;-1,61
1980-08-13;2,740343994428792;2,785267858469972;2,740343994428792;2,751575231552124;46069;0,41
1980-08-14;2,7515768243576986;2,7852694707792125;2,7178839610456293;2,7291147708892822;56700;-0,82
1980-08-15;2,729112405580883;2,751574439581564;2,6954197883605957;2,6954197883605957;70369;-1,23
1980-08-18;2,639266094161347;2,639266094161347;2,5381879806518555;2,5381879806518555;21769;-5,83
1980-08-19;2,560648948607613;2,5831103324890137;2,560648948607613;2,5831103324890137;16706;1,77
1980-08-20;2,583111844889437;2,628035940297331;2,583111844889437;2,605573892593384;15694;0,87
1980-08-21;2,6055730350155435;2,6055730350155435;2,5943422317504883;2,5943422317504883;139725;-0,43
1980-08-22;2,605573892593384;2,628035940297331;2,605573892593384;2,605573892593384;8606;0,43
1980-08-25;2,5943420189104627;2,5943420189104627;2,5606493949890137;2,5606493949890137;20250;-1,72
1980-08-26;2,5606501657441147;2,571880971468264;2,5494189262390137;2,5494189262390137;9619;-0,44
1980-08-27;2,5381887974584583;2,5381887974584583;2,515726746238502;2,5269579887390137;262744;-0,88
1980-08-28;2,5494189262390137;2,5494189262390137;2,5494189262390137;2,5494189262390137;11138;0,89
1980-08-29;2,5494196061779024;2,560650848678414;2,5269579887390137;2,5269579887390137;10125;-0,88
1980-09-02;2,5269570895630205;2,5718807422365244;2,51572585105896;2,51572585105896;19744;-0,44
1980-09-03;2,5157253180526538;2,5606493949890137;2,493263496474884;2,5606493949890137;36450;1,79
1980-09-04;2,5606501657441147;2,571880971468264;2,5494189262390137;2,5494189262390137;12656;-0,44
1980-09-05;2,549418699009316;2,5718807422365244;2,4932640247222078;2,51572585105896;86569;-1,32
1980-09-08;2,5157247699319005;2,5269560036093637;2,47080135345459;2,47080135345459;68850;-1,79
1980-09-09;2,47080135345459;2,4820321533513265;2,425877503196553;2,47080135345459;65306;0,0
1980-09-10;2,470803059834522;2,515726507336753;2,470803059834522;2,493264675140381;56700;0,91
1980-09-11;2,4932640247222078;2,51572585105896;2,4820332199990602;2,51572585105896;5569;0,9
1980-09-12;2,51572585105896;2,5381878942861684;2,51572585105896;2,51572585105896;33413;0,0
