Ticker;Type;Nb_Lignes;Date_Min;Date_Max;Dernier_Cours
AAPL;Action;11429;1980-12-12;2026-04-20;272,0299987792969
ABBV;Action;3344;2013-01-02;2026-04-20;205,9250030517578
ABNB;Action;1344;2020-12-10;2026-04-20;142,2550048828125
ABT;Action;11617;1980-03-17;2026-04-20;96,91999816894533
ADBE;Action;9997;1986-08-13;2026-04-20;247,5050048828125
ADI;Action;11617;1980-03-17;2026-04-20;378,7900085449219
ADM;Action;11617;1980-03-17;2026-04-20;67,73999786376953
AEP;Action;16182;1962-01-02;2026-04-20;134,8000030517578
AIG;Action;13437;1973-01-02;2026-04-20;79,125
ALB;Action;8093;1994-02-22;2026-04-20;197,02999877929688
AMAT;Action;11617;1980-03-17;2026-04-20;392,2000122070313
AMD;Action;11617;1980-03-17;2026-04-20;274,4200134277344
AMGN;Action;10794;1983-06-17;2026-04-20;352,1199951171875
AMT;Action;7079;1998-02-27;2026-04-20;182,65499877929688
AMZN;Action;7277;1997-05-15;2026-04-20;246,125
APD;Action;11617;1980-03-17;2026-04-20;297,739990234375
ARE;Action;7269;1997-05-28;2026-04-20;48,71500015258789
AVB;Action;8080;1994-03-11;2026-04-20;175,156494140625
AVGO;Action;4201;2009-08-06;2026-04-20;396,2701110839844
AWK;Action;4526;2008-04-23;2026-04-20;134,89999389648438
AXP;Action;13583;1972-06-01;2026-04-20;330,95001220703125
AZO;Action;8826;1991-04-02;2026-04-20;3561,534912109375
BAC;Action;13403;1973-02-21;2026-04-20;53,494998931884766
BA;Action;16182;1962-01-02;2026-04-20;222,80499267578125
BDX;Action;13403;1973-02-21;2026-04-20;158,4040069580078
BIIB;Action;8709;1991-09-17;2026-04-20;182,8650054931641
BKNG;Action;6805;1999-03-31;2026-04-20;189,97999572753903
BKR;Action;9834;1987-04-06;2026-04-20;59,93999862670898
BK;Action;13353;1973-05-03;2026-04-20;135,11000061035156
BLK;Action;6677;1999-10-01;2026-04-20;1050,655029296875
BMY;Action;13583;1972-06-01;2026-04-20;59,709999084472656
BRK_B;Action;7534;1996-05-09;2026-04-20;473,0199890136719
BSX;Action;8539;1992-05-19;2026-04-20;62,95000076293945
CAT;Action;16182;1962-01-02;2026-04-20;795,5
CCI;Action;6960;1998-08-18;2026-04-20;88,58999633789062
CF;Action;5204;2005-08-11;2026-04-20;114,41999816894533
CHTR;Action;4097;2010-01-05;2026-04-20;244,22000122070312
CI;Action;11102;1982-03-31;2026-04-20;278,9750061035156
CL;Action;13354;1973-05-02;2026-04-20;84,1500015258789
CMCSA;Action;11617;1980-03-17;2026-04-20;30,024999618530277
CMG;Action;5089;2006-01-26;2026-04-20;35,974998474121094
CMI;Action;13403;1973-02-21;2026-04-20;630,3400268554688
COF;Action;7907;1994-11-16;2026-04-20;205,22999572753903
COP;Action;11164;1981-12-31;2026-04-20;117,69000244140624
COST;Action;10022;1986-07-09;2026-04-20;1004,2999877929688
CRM;Action;5491;2004-06-23;2026-04-20;185,18499755859372
CRWD;Action;1723;2019-06-12;2026-04-20;426,1000061035156
CSCO;Action;9108;1990-02-16;2026-04-20;87,27999877929688
CSX;Action;11456;1980-11-03;2026-04-20;43,755001068115234
CVS;Action;13403;1973-02-21;2026-04-20;76,78500366210938
CVX;Action;16182;1962-01-02;2026-04-20;184,8350067138672
C;Action;12426;1977-01-03;2026-04-20;132,19000244140625
DD;Action;13583;1972-06-01;2026-04-20;47,33000183105469
DE;Action;13583;1972-06-01;2026-04-20;593,9199829101562
DHI;Action;8527;1992-06-05;2026-04-20;150,97999572753906
DHR;Action;11923;1978-12-29;2026-04-20;193,91000366210935
DIA;Action;7106;1998-01-20;2026-04-20;493,8049926757813
DIS;Action;16182;1962-01-02;2026-04-20;106,31500244140624
DLR;Action;5401;2004-10-29;2026-04-20;203,1199951171875
DOW;Action;1781;2019-03-20;2026-04-20;36,92499923706055
DUK;Action;11617;1980-03-17;2026-04-20;128,75
DVN;Action;10265;1985-07-22;2026-04-20;45,074798583984375
D;Action;11617;1980-03-17;2026-04-20;62,880001068115234
EA;Action;9212;1989-09-20;2026-04-20;203,5
EBAY;Action;6934;1998-09-24;2026-04-20;105,26000213623048
ECL;Action;13403;1973-02-21;2026-04-20;277,8187866210937
ED;Action;16182;1962-01-02;2026-04-20;110,9000015258789
EIX;Action;13353;1973-05-03;2026-04-20;71,25
ELV;Action;6156;2001-10-30;2026-04-20;320,1700134277344
EL;Action;7653;1995-11-17;2026-04-20;76,33999633789062
EMR;Action;13583;1972-06-01;2026-04-20;146,19500732421875
EOG;Action;9202;1989-10-04;2026-04-20;129,1649932861328
EQIX;Action;6459;2000-08-11;2026-04-20;1096,31005859375
EQR;Action;8227;1993-08-12;2026-04-20;63,150001525878906
ES;Action;13403;1973-02-21;2026-04-20;69,31999969482422
ETN;Action;13583;1972-06-01;2026-04-20;406,9549865722656
ETSY;Action;2769;2015-04-16;2026-04-20;62,68000030517578
EXC;Action;13354;1973-05-02;2026-04-20;47,08000183105469
EXR;Action;5454;2004-08-16;2026-04-20;146,31500244140625
FANG;Action;3397;2012-10-12;2026-04-20;184,9949951171875
FCX;Action;7746;1995-07-10;2026-04-20;70,46499633789062
FDX;Action;12105;1978-04-12;2026-04-20;394,2300109863281
F;Action;13583;1972-06-01;2026-04-20;12,8149995803833
GD;Action;16182;1962-01-02;2026-04-20;335,4800109863281
GE;Action;16182;1962-01-02;2026-04-20;303,4599914550781
GILD;Action;8621;1992-01-22;2026-04-20;136,80999755859375
GIS;Action;11617;1980-03-17;2026-04-20;35,29999923706055
GLD;Action;5387;2004-11-18;2026-04-20;441,6499938964844
GM;Action;3876;2010-11-18;2026-04-20;80,66500091552734
GOOGL;Action;5451;2004-08-19;2026-04-20;337,1400146484375
GS;Action;6782;1999-05-04;2026-04-20;927,3400268554688
HAL;Action;13583;1972-06-01;2026-04-20;37,51499938964844
HCA;Action;3800;2011-03-10;2026-04-20;485,6199951171875
HD;Action;11234;1981-09-22;2026-04-20;347,05499267578125
HON;Action;16182;1962-01-02;2026-04-20;231,6499938964844
HSY;Action;11617;1980-03-17;2026-04-20;194,28990173339844
IBM;Action;16182;1962-01-02;2026-04-20;253,7949981689453
INTC;Action;11617;1980-03-17;2026-04-20;65,9800033569336
INTU;Action;8333;1993-03-12;2026-04-20;397,4200134277344
INVH;Action;2316;2017-02-01;2026-04-20;27,295000076293945
ISRG;Action;6498;2000-06-16;2026-04-20;468,739990234375
ITW;Action;13389;1973-03-13;2026-04-20;272,50250244140625
IWM;Action;6512;2000-05-26;2026-04-20;276,9599914550781
JNJ;Action;16182;1962-01-02;2026-04-20;233,55499267578125
JPM;Action;11617;1980-03-17;2026-04-20;314,18719482421875
KHC;Action;2714;2015-07-06;2026-04-20;22,475000381469727
KLAC;Action;11474;1980-10-08;2026-04-20;1788,8399658203125
KMB;Action;11617;1980-03-17;2026-04-20;99,1999969482422
KMI;Action;3818;2011-02-11;2026-04-20;32,275001525878906
KO;Action;16182;1962-01-02;2026-04-20;76,06999969482422
KR;Action;16182;1962-01-02;2026-04-20;67,93000030517578
LEN;Action;11617;1980-03-17;2026-04-20;93,41000366210938
LIN;Action;8519;1992-06-17;2026-04-20;500,30999755859375
LLY;Action;13583;1972-06-01;2026-04-20;927,4400024414062
LMT;Action;16181;1962-01-02;2026-04-20;584,35498046875
LOW;Action;11617;1980-03-17;2026-04-20;251,0800018310547
LRCX;Action;10571;1984-05-04;2026-04-20;264,4100036621094
MAR;Action;7063;1998-03-23;2026-04-20;376,4800109863281
MCD;Action;15047;1966-07-05;2026-04-20;308,760009765625
MDLZ;Action;6249;2001-06-13;2026-04-20;57,43000030517578
MDT;Action;13354;1973-05-02;2026-04-20;86,79000091552734
META;Action;3499;2012-05-18;2026-04-20;670,4099731445312
MET;Action;6548;2000-04-05;2026-04-20;77,875
MLM;Action;8095;1994-02-17;2026-04-20;627,3699951171875
MMM;Action;16182;1962-01-02;2026-04-20;152,44500732421875
MOS;Action;9630;1988-01-26;2026-04-20;24,065000534057617
MO;Action;16182;1962-01-02;2026-04-20;64,66000366210938
MPC;Action;3726;2011-06-24;2026-04-20;215,38999938964844
MRK;Action;16182;1962-01-02;2026-04-20;118,55500030517578
MSFT;Action;10103;1986-03-13;2026-04-20;417,4750061035156
MS;Action;8346;1993-02-23;2026-04-20;189,4445953369141
MU;Action;10552;1984-06-01;2026-04-20;440,7000122070313
NEE;Action;13403;1973-02-21;2026-04-20;92,76499938964844
NEM;Action;11617;1980-03-17;2026-04-20;114,58499908447266
